02.53.51.989259,SB11,login,
02.58.32.424963,SB11,words ,1,
02.58.32.455255,SB11,words ,1,
02.58.32.495397,SB11,words ,1,
02.58.32.535883,SB11,words ,1,
02.58.32.557942,SB11,words ,1,
02.58.32.607062,SB11,words ,1,
02.58.32.641499,SB11,words ,1,
02.58.32.672055,SB11,words ,1,
02.58.32.705233,SB11,words ,1,
02.58.32.745702,SB11,words ,1,
02.58.32.777981,SB11,words ,1,
02.58.32.826156,SB11,words ,1,
02.58.32.860153,SB11,words ,1,
02.58.32.901103,SB11,words ,1,
02.58.32.930574,SB11,words ,1,
02.58.32.969824,SB11,words ,1,
02.58.33.011520,SB11,words ,1,
02.58.33.040762,SB11,words ,1,
02.58.33.078997,SB11,words ,1,
02.58.33.120920,SB11,words ,1,
02.58.33.159569,SB11,words ,1,
02.58.33.201770,SB11,words ,1,
02.58.33.265625,SB11,words,1,
02.58.33.307040,SB11,words,1,
02.58.33.340711,SB11,words,1,
02.58.33.391517,SB11,words,1,
02.58.33.426220,SB11,words,1,
02.58.33.452095,SB11,words,1,
02.58.33.483716,SB11,words,1,
02.58.33.532316,SB11,words,1,
02.58.33.557704,SB11,words,1,
02.58.33.612579,SB11,words,1,
02.58.33.641062,SB11,words,1,
02.58.33.683194,SB11,words,1,
02.58.33.711812,SB11,words,1,
02.58.33.744200,SB11,words,1,
02.58.33.800458,SB11,words,1,
02.58.33.826783,SB11,words,1,
02.58.33.856290,SB11,words,1,
02.58.33.908239,SB11,words,1,
02.58.33.932531,SB11,words,1,
02.58.33.984679,SB11,words,1,
02.58.34.017012,SB11,words,1,
02.58.34.046090,SB11,words,1,
02.58.34.092753,SB11,words,1,
02.58.34.121320,SB11,words,1,
02.58.34.154862,SB11,words,1,
02.58.34.202743,SB11,words,1,
02.58.34.235864,SB11,words,1,
02.58.34.267812,SB11,words,1,
02.58.34.308307,SB11,words,1,
02.58.34.344849,SB11,words,1,
02.58.34.390973,SB11,words,1,
02.58.34.417070,SB11,words,1,
